product_direction,product_category,product_brand,product_name,product_price,production_date,expire_date,period_of_duration,brand_availability,discount_percentage,price_after_discount,store_name,location_long,location_lat,product_group,sales_volume,date_of_manufacture,date_of_expiry,status
food_products,Meat Products,Oscar Mayer,Lamb,0 sum,01.01.2025,01.03.2025,59 days,yes,0%,0 sum,,,,,,,,
,,Makfa,Buns,5.13,,,,,,,FreshFoods,-118.2661971,34.00470108,Bakery Products,14.0,23/12/2024,21/01/2025,yes
,,Amul,Yogurt,5.36,,,,,,,FreshFoods,-118.2431645,34.0240638,Dairy Products,92.0,14/02/2025,08/05/2025,yes
,,Pioner,Bread,7.7,,,,,,,PrimePick,-112.1233501,33.47934305,Bakery Products,36.0,06/06/2024,07/08/2024,yes
,,Cherkizovo,Poultry,7.5,,,,,,,FreshFoods,-118.2578021,34.04019273,Meat Products,6.0,09/11/2024,20/12/2024,no
,,Milka,Halva,8.61,,,,,,,FreshFoods,-118.2107595,34.05740406,Sweets,25.0,23/04/2024,14/08/2024,no
,,Nestl̩ Pure Life,Tea,6.18,,,,,,,FreshFoods,-118.2070516,34.08773177,Beverages,82.0,21/09/2024,02/09/2025,yes
,,Amul,Cream,3.31,,,,,,,PrimePick,-112.0556452,33.46858203,Dairy Products,22.0,17/12/2024,31/01/2025,yes
,,Danone,Butter,4.14,,,,,,,TastyBite,139.6327283,35.64816152,Dairy Products,5.0,27/08/2024,31/10/2024,yes
,,Lipton,Tea,4.45,,,,,,,NutriMart,-99.15173221,19.47023676,Beverages,19.0,01/08/2024,19/06/2025,yes
,,Nestl̩,Cakes,6.94,,,,,,,PrimePick,-112.0811566,33.47310138,Sweets,29.0,28/05/2024,13/05/2025,no
,,Nescaf̩,Mineral Water,8.41,,,,,,,FreshFoods,-118.2777018,34.01748413,Beverages,50.0,30/09/2024,21/07/2026,no
,,Milka,Jam,6.35,,,,,,,MegaMarket,-74.04454483,40.73082834,Sweets,44.0,15/05/2024,10/01/2025,yes
,,Mars,Jam,8.09,,,,,,,PrimePick,-112.0478038,33.49558881,Sweets,39.0,09/02/2025,24/01/2026,yes
,,Mars,Halva,3.12,,,,,,,SuperValue,-87.60193735,41.8820379,Sweets,42.0,24/11/2024,03/03/2025,yes
,,Mars,Chocolate,11.78,,,,,,,PrimePick,-112.0999128,33.42234523,Sweets,94.0,22/11/2024,27/03/2025,yes
,,Ferrero,Cakes,11.64,,,,,,,SuperValue,-87.63227176,41.84093915,Sweets,68.0,23/01/2025,25/11/2025,no
,,Perdue,Hot Dogs,9.49,,,,,,,EcoGrocer,-95.37990077,29.7816949,Meat Products,58.0,19/05/2024,10/06/2024,yes
,,Nestl̩,Cream,2.54,,,,,,,NutriMart,-99.12435599,19.43799215,Dairy Products,81.0,18/04/2024,31/05/2024,yes
,,Pepsi,Coffee,4.4,,,,,,,GoldenCart,-0.153999537,51.46448573,Beverages,17.0,05/01/2025,31/10/2026,yes
,,Nestl̩ Pure Life,Tea,10.43,,,,,,,MarketMax,2.311893081,48.82564099,Beverages,53.0,13/11/2024,06/07/2025,no
,,Danone,Yogurt,3.12,,,,,,,FreshFoods,-118.2208786,34.00826127,Dairy Products,25.0,18/12/2024,27/02/2025,yes
,,Nescaf̩,Mineral Water,14.57,,,,,,,FoodWorld,37.65962656,55.73078064,Beverages,7.0,15/02/2025,29/08/2025,no
,,Pioner,Wheat Flour,7.9,,,,,,,EcoGrocer,-95.37123589,29.72703111,Bakery Products,22.0,29/09/2024,06/10/2024,yes
,,Nestl̩,Candies,11.69,,,,,,,FoodWorld,37.63695915,55.73432492,Sweets,25.0,17/08/2024,06/03/2025,yes
,,Amul,Cheese,2.46,,,,,,,TastyBite,139.6316605,35.63229576,Dairy Products,65.0,15/12/2024,18/01/2025,yes
,,Pioner,Wheat Flour,5.16,,,,,,,SuperValue,-87.67300391,41.83495213,Bakery Products,73.0,23/07/2024,25/12/2024,yes
,,Hormel,Lamb,10.31,,,,,,,MarketMax,2.358722692,48.87233732,Meat Products,86.0,26/08/2024,17/09/2024,yes
,,Nestl̩,Cheese,2.59,,,,,,,PrimePick,-112.0310982,33.44412246,Dairy Products,80.0,01/01/2025,27/01/2025,yes
,,Danone,Kefir,8.67,,,,,,,PrimePick,-112.0890991,33.41164566,Dairy Products,37.0,07/06/2024,16/08/2024,no
,,Mars,Jam,11.39,,,,,,,NutriMart,-99.10249001,19.48098533,Sweets,71.0,19/08/2024,09/01/2025,yes
,,Ozon,Bread,2.43,,,,,,,FreshFoods,-118.2194583,34.09117127,Bakery Products,78.0,04/07/2024,06/10/2024,yes
,,Nestl̩,Cream,2.03,,,,,,,PrimePick,-112.0988879,33.44894091,Dairy Products,55.0,07/08/2024,26/08/2024,no
,,Nescaf̩,Mineral Water,8.64,,,,,,,PrimePick,-112.0798164,33.4145582,Beverages,15.0,26/04/2024,24/03/2025,no
,,Parmalat,Kefir,7.46,,,,,,,NutriMart,-99.14022133,19.43785251,Dairy Products,6.0,18/09/2024,28/10/2024,yes
,,Nescaf̩,Carbonated Drinks,13.34,,,,,,,GoldenCart,-0.08938653,51.53541162,Beverages,31.0,10/06/2024,06/06/2025,yes
,,Ozon,Pasta,7.11,,,,,,,GoldenCart,-0.136628683,51.53563865,Bakery Products,90.0,13/05/2024,25/08/2024,no
,,Hormel,Lamb,8.86,,,,,,,EcoGrocer,-95.32795481,29.73035728,Meat Products,29.0,31/03/2024,19/05/2024,yes
,,Nestl̩,Jam,3.15,,,,,,,FreshFoods,-118.2657875,34.09888891,Sweets,69.0,04/09/2024,17/12/2024,no
,,Nestl̩,Cottage Cheese,5.49,,,,,,,SuperValue,-87.58144494,41.88615897,Dairy Products,56.0,11/09/2024,04/11/2024,no
